idmedHis_PK;medHisPue;pai_FK;medHisOro;medHisPla;medHisBro;medHisTot
1;1;1;1948;1455;1027;1200
2;2;2;875;593;558;2026
3;3;3;456;656;801;1913
4;4;4;328;359;520;1207
5;5;5;294;331;435;1060
6;6;6;220;289;502;1019
7;7;7;108;148;277;574
8;8;8;92;205;277;574
9;9;9;44;91;151;286
10;10;10;29;63;112;204
11;11;11;28;81;134;243
12;12;12;28;30;61;119
13;13;13;25;46;60;131
14;14;14;20;15;40;75
15;15;15;12;25;46;83
16;16;16;11;23;29;63
17;17;17;9;15;13;37
18;18;18;8;33;69;110
19;19;19;5;9;17;31
20;20;20;5;6;11;22
21;21;21;3;19;26;48
22;22;22;3;2;5;10
23;23;23;2;4;12;18
24;24;24;1;8;13;22
25;25;25;1;4;4;9
26;26;26;1;4;1;6
27;27;27;1;0;2;3
28;28;28;1;0;2;3
29;29;29;0;4;7;11
30;30;30;0;4;6;10
31;31;31;0;4;11;15
32;32;32;0;2;5;7
33;33;33;0;2;1;3
34;34;34;0;2;1;3
35;35;35;0;2;8;10
36;36;36;0;2;6;8
37;37;37;0;2;4;6
38;38;38;0;2;2;4
39;39;39;0;0;2;2
40;40;40;0;0;2;2
41;41;41;0;0;0;0
42;42;42;0;0;0;0
