idSecretaria;se_nombre;se_tipo
1;"Secreteraría Ejecutiva";1
2;"Oficina de Administración";1
3;"Oficina de Recursos Humanos";1
4;"Oficina de Voluntariado";1
5;"Oficina de Acreditación";1
6;"Oficina de Asesoría Jurídica";1
7;"Oficina de Planeamiento, Presupuesto y Modernización";1
8;"Oficina de Coordinación de Riesgos y Legado";1
10;"Dirección Ejecutiva";0
11;"Dirección de Integración";0
12;"Dirección de Proyectos e Infraestructura Definitiva";0
13;"Dirección de Operaciones";0
14;"Dirección de Desarrollo Tecnológico y Transmisiones";0
15;"Dirección de Comunicaciones";0
