idUnidadOrganizacional;U_nombre;idSecUniOrgFK
1;"Unidad de Enlace y Coordinación del Soporte Internacional";1
2;"Unidad Logística";2
3;"Unidad Tesorería";2
4;"Unidad de Presupuesto";7
5;"Unidad de Planeamiento y modernización";7
6;"Subdirección de Implementación Temporal para la Entrega de Sedes";11
7;"Subdirección de Integración operativa";11
8;"Subdirección de obras";12
9;"Subdirección de Recepción, Liquidación y Transferencias de Obras";12
10;"Subdirección de Deportes";13
11;"Subdirección de Gestión de Sedes";13
12;"Subdirección de Relaciones Internacionales y Protocolo Deportivo";13
13;"Subdirección de Gestión de Villas";13
14;"Subdirección de Transporte y Seguridad";13
15;"Subdirección de Servicios a los Juegos y Servicios Médicos";13
16;"Subdirección de Desarrollo Tecnológico";14
17;"Subdirección de Transmisiones";14
18;"Subdirección de Comunicaciones, Prensa y Ceremonias";15
19;"Subdirección de Comercialización y Mercadotecnia";15
